phase,boot,point,sha,corpus,gen_ms,gen_rc,prep_ms,prep_rc,peak_kb
A,1787702011,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,ffi,-2,0,168000,0,437272
N,1787702011,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,ffi,-2,0,2547000,134,11734736
N,1787702011,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,ffi,-2,0,2648000,134,11735132
N,1787702011,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,ffi,-2,0,2637000,134,11734848
N,1787702011,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,ffi,-2,0,2796000,134,11734704
N,1787726341,p04,64f03fce29369b2878614fb136c38ae2fac4265c,ffi,-2,0,2236000,134,11734760
N,1787726341,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,ffi,-2,0,2239000,134,11734900
N,1787726341,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,ffi,-2,0,2110000,134,11734852
N,1787726341,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,ffi,-2,0,342000,134,11734752
N,1787726341,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,ffi,-2,0,1021000,0,474952
N,1787726341,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,ffi,-2,0,1070000,0,441176
