rep,step,corpus,metric,ms,rc,peak_kb
1,f0,idemo,prep,5135,0,59496
1,f0,gp2,gen,4399,0,232456
1,f0,gp2,prep,77504,0,457772
1,f0,ffi,gen,2167,0,149704
1,f0,ffi,prep,72327,0,365332
1,f1,idemo,prep,5397,0,59180
1,f1,gp2,gen,3656,0,233616
1,f1,gp2,prep,78309,0,466796
1,f1,ffi,gen,2191,0,149244
1,f1,ffi,prep,73285,0,377228
1,f2,idemo,prep,5037,0,58952
1,f2,gp2,gen,3608,0,233628
1,f2,gp2,prep,79275,0,451012
1,f2,ffi,gen,2241,0,149528
1,f2,ffi,prep,71359,0,377388
1,f3,idemo,prep,5340,0,59188
1,f3,gp2,gen,3609,0,238304
1,f3,gp2,prep,82555,0,456240
1,f3,ffi,gen,2539,0,149660
1,f3,ffi,prep,73414,0,372680
2,f0,idemo,prep,5331,0,59736
2,f0,gp2,gen,4244,0,232308
1,f0,idemo,gen,287,0,34904
1,f1,idemo,gen,297,0,34724
1,f2,idemo,gen,296,0,34968
1,f3,idemo,gen,298,0,35316
2,f0,idemo,gen,284,0,34616
2,f0,gp2,prep,72648,0,457116
2,f0,ffi,gen,2108,0,149632
2,f0,ffi,prep,69257,0,365192
2,f1,idemo,gen,297,0,34968
2,f1,idemo,prep,4859,0,59008
2,f1,gp2,gen,3396,0,233372
2,f1,gp2,prep,73679,0,466300
2,f1,ffi,gen,2026,0,149032
2,f1,ffi,prep,66229,0,377004
2,f2,idemo,gen,288,0,34888
2,f2,idemo,prep,4852,0,58884
2,f2,gp2,gen,3442,0,233584
2,f2,gp2,prep,74389,0,466368
2,f2,ffi,gen,2157,0,149312
2,f2,ffi,prep,68925,0,376744
2,f3,idemo,gen,318,0,35128
2,f3,idemo,prep,5931,0,59192
2,f3,gp2,gen,3659,0,238240
2,f3,gp2,prep,75798,0,456136
2,f3,ffi,gen,2054,0,149724
2,f3,ffi,prep,68236,0,372500
1,f0,dotnet,gen,11526,0,520828
1,f1,dotnet,gen,11397,0,518468
1,f2,dotnet,gen,11086,0,518424
1,f3,dotnet,gen,11208,0,524044
2,f0,dotnet,gen,11397,0,520996
2,f1,dotnet,gen,10977,0,518168
2,f2,dotnet,gen,10686,0,518192
2,f3,dotnet,gen,10784,0,523748
1,f0,dotnet,prep,594668,0,1127044
1,f1,dotnet,prep,588225,0,1169328
1,f2,dotnet,prep,591588,0,1184580
1,f3,dotnet,prep,603362,0,1202936
2,f0,dotnet,prep,593185,0,1133912
2,f1,dotnet,prep,589091,0,1184352
2,f2,dotnet,prep,597974,0,1184440
2,f3,dotnet,prep,615431,0,1203000
