n,seconds
1,0.000
2,0.004
3,0.008
4,0.012
5,0.014
6,0.018
7,0.021
8,0.025
9,0.029
10,0.030
11,0.033
12,0.037
13,0.040
14,0.044
15,0.045
16,0.046
17,0.047
18,0.047
19,0.048
20,0.049
21,0.050
22,0.054
23,0.055
24,0.059
25,0.061
26,0.066
27,0.068
28,0.072
29,0.076
30,0.080
31,0.080
32,0.081
33,0.084
34,0.084
35,0.085
36,0.088
37,0.089
38,0.090
39,0.091
40,0.091
41,0.092
42,0.093
43,0.094
44,0.097
45,0.099
46,0.102
47,0.105
48,0.106
49,0.109
50,0.114
51,0.118
52,0.119
53,0.120
54,0.123
55,0.124
56,0.127
57,0.131
58,0.135
59,0.137
60,0.138
61,0.138
62,0.139
63,0.140
64,0.144
65,0.144
66,0.145
67,0.146
68,0.147
69,0.148
70,0.148
71,0.150
72,0.154
73,0.155
74,0.159
75,0.161
76,0.165
77,0.166
78,0.166
79,0.171
80,0.175
81,0.180
82,0.184
83,0.188
84,0.193
85,0.193
86,0.198
87,0.202
88,0.205
89,0.209
90,0.210
91,0.214
92,0.215
93,0.215
94,0.216
95,0.216
96,0.217
97,0.218
98,0.219
99,0.225
100,0.227
101,0.230
102,0.233
103,0.236
104,0.239
105,0.242
106,0.245
107,0.247
108,0.250
109,0.253
110,0.256
111,0.263
112,0.264
113,0.265
114,0.265
115,0.266
116,0.267
117,0.267
118,0.268
119,0.269
120,0.270
121,0.270
122,0.271
123,0.272
124,0.273
125,0.273
126,0.274
127,0.275
128,0.276
129,0.279
130,0.282
131,0.287
132,0.289
133,0.290
134,0.290
135,0.294
136,0.296
137,0.299
138,0.302
139,0.305
140,0.307
141,0.310
142,0.312
143,0.315
144,0.318
145,0.319
146,0.321
147,0.322
148,0.324
149,0.325
150,0.325
151,0.326
152,0.327
153,0.331
154,0.337
155,0.339
156,0.343
157,0.345
158,0.349
159,0.351
160,0.354
161,0.357
162,0.358
163,0.359
164,0.360
165,0.361
166,0.362
167,0.363
168,0.364
169,0.365
170,0.366
171,0.367
172,0.368
173,0.369
174,0.370
175,0.372
176,0.373
177,0.375
178,0.376
179,0.376
180,0.378
181,0.379
182,0.380
183,0.381
184,0.383
185,0.384
186,0.385
187,0.386
188,0.387
189,0.388
190,0.389
191,0.390
192,0.391
193,0.392
194,0.393
195,0.393
196,0.395
197,0.395
198,0.397
199,0.398
200,0.399
201,0.401
202,0.401
203,0.403
204,0.404
205,0.405
206,0.406
207,0.407
208,0.407
209,0.408
210,0.410
211,0.411
212,0.418
213,0.425
214,0.429
215,0.430
216,0.430
217,0.431
218,0.432
219,0.432
220,0.433
221,0.437
222,0.443
223,0.450
224,0.456
225,0.463
226,0.469
227,0.476
228,0.482
229,0.486
230,0.487
231,0.495
232,0.502
233,0.503
234,0.505
235,0.506
236,0.507
237,0.509
238,0.510
239,0.511
240,0.513
241,0.514
242,0.516
243,0.521
244,0.525
245,0.528
246,0.532
247,0.535
248,0.539
249,0.542
250,0.546
251,0.551
252,0.555
253,0.560
254,0.564
255,0.569
256,0.573
257,0.577
258,0.581
259,0.584
260,0.588
261,0.590
262,0.595
263,0.595
264,0.597
265,0.601
266,0.601
267,0.602
268,0.605
269,0.609
270,0.610
271,0.612
272,0.616
273,0.617
274,0.618
275,0.622
276,0.622
277,0.623
278,0.625
279,0.629
280,0.630
281,0.635
282,0.639
283,0.643
284,0.647
285,0.648
286,0.652
287,0.656
288,0.657
289,0.660
290,0.664
291,0.666
292,0.670
293,0.671
294,0.673
295,0.676
296,0.677
297,0.680
298,0.684
299,0.685
300,0.690
301,0.694
302,0.695
303,0.695
304,0.700
305,0.704
306,0.705
307,0.708
308,0.711
309,0.712
310,0.713
311,0.713
312,0.714
313,0.719
314,0.723
315,0.726
316,0.730
317,0.732
318,0.736
319,0.736
320,0.738
321,0.741
322,0.744
323,0.749
324,0.750
325,0.752
326,0.757
327,0.758
328,0.763
329,0.768
330,0.773
331,0.778
332,0.782
333,0.786
334,0.787
335,0.791
336,0.795
337,0.797
338,0.800
339,0.801
340,0.802
341,0.806
342,0.809
343,0.813
344,0.815
345,0.817
346,0.821
347,0.822
348,0.827
349,0.831
350,0.836
351,0.840
352,0.844
353,0.847
354,0.848
355,0.856
356,0.860
357,0.861
358,0.862
359,0.866
360,0.870
361,0.871
362,0.871
363,0.872
364,0.873
365,0.873
366,0.874
367,0.878
368,0.885
369,0.892
370,0.899
371,0.906
372,0.913
373,0.917
374,0.918
375,0.921
376,0.926
377,0.927
378,0.932
379,0.936
380,0.941
381,0.944
382,0.949
383,0.952
384,0.955
385,0.959
386,0.959
387,0.961
388,0.965
389,0.966
390,0.967
391,0.970
392,0.975
393,0.976
394,0.978
395,0.982
396,0.983
397,0.985
398,0.989
399,0.990
400,0.991
401,0.993
402,0.998
403,0.998
404,0.999
405,1.002
406,1.007
407,1.008
408,1.010
409,1.015
410,1.019
411,1.024
412,1.025
413,1.028
414,1.032
415,1.034
416,1.038
417,1.039
418,1.041
419,1.045
420,1.045
421,1.046
422,1.049
423,1.054
424,1.055
425,1.060
426,1.064
427,1.065
428,1.065
429,1.069
430,1.073
431,1.074
432,1.080
433,1.084
434,1.085
435,1.086
436,1.091
437,1.094
438,1.097
439,1.101
440,1.106
441,1.111
442,1.112
443,1.116
444,1.120
445,1.121
446,1.124
