n,seconds
1,0.000
2,0.023
3,0.031
4,0.034
5,0.075
6,0.077
7,0.110
8,0.118
9,0.120
10,0.229
11,0.232
12,0.296
13,0.345
14,0.347
15,0.349
16,0.371
17,0.373
18,0.375
19,0.376
20,0.378
21,0.381
22,0.389
23,0.391
24,0.446
25,0.448
26,0.489
27,0.502
28,0.505
29,0.653
30,0.656
31,0.748
32,0.816
33,0.818
34,0.821
35,0.850
36,0.852
37,0.854
38,0.856
39,0.858
40,0.862
41,0.876
42,0.878
43,0.918
44,0.920
45,0.951
46,0.959
47,0.961
48,1.076
49,1.078
50,1.149
51,1.199
52,1.201
53,1.203
54,1.225
55,1.227
56,1.229
57,1.231
58,1.233
59,1.236
60,1.245
61,1.247
62,1.293
63,1.295
64,1.336
65,1.352
66,1.354
67,1.504
68,1.509
69,1.593
70,1.644
71,1.647
72,1.649
73,1.671
74,1.674
75,1.676
76,1.679
77,1.681
78,1.685
79,1.694
80,1.696
81,1.737
82,1.740
83,1.773
84,1.781
85,1.784
86,1.911
87,1.914
88,1.989
89,2.040
90,2.043
91,2.046
92,2.070
93,2.073
94,2.075
95,2.078
96,2.080
97,2.084
98,2.094
99,2.096
100,2.139
101,2.142
102,2.179
103,2.194
104,2.196
105,2.369
106,2.372
107,2.471
108,2.538
109,2.541
110,2.543
111,2.574
112,2.576
113,2.578
114,2.581
115,2.583
116,2.589
117,2.605
118,2.608
119,2.659
120,2.661
121,2.696
122,2.708
123,2.710
124,2.838
125,2.841
126,2.916
127,2.968
128,2.971
129,2.974
130,2.999
131,3.002
132,3.004
133,3.007
134,3.009
135,3.015
136,3.025
137,3.027
138,3.072
139,3.074
140,3.108
141,3.118
142,3.120
143,3.256
144,3.259
145,3.341
146,3.402
147,3.405
148,3.408
149,3.433
150,3.436
151,3.438
152,3.442
153,3.445
154,3.449
155,3.460
156,3.462
157,3.508
158,3.511
159,3.545
160,3.555
161,3.557
162,3.687
163,3.690
164,3.770
165,3.823
166,3.826
167,3.829
168,3.852
169,3.855
170,3.857
171,3.860
172,3.862
173,3.867
174,3.884
175,3.886
176,3.948
177,3.950
178,3.997
179,4.013
180,4.016
181,4.199
182,4.202
183,4.315
184,4.370
185,4.373
186,4.374
187,4.398
188,4.399
189,4.401
190,4.403
191,4.405
192,4.408
193,4.419
194,4.421
195,4.469
196,4.471
197,4.506
198,4.515
199,4.517
200,4.657
201,4.660
202,4.744
203,4.797
204,4.799
205,4.801
206,4.825
207,4.827
208,4.829
209,4.830
210,4.832
211,4.835
212,4.845
213,4.847
214,4.893
215,4.895
216,4.930
217,4.940
218,4.942
219,5.086
220,5.089
221,5.177
222,5.232
223,5.235
224,5.238
225,5.262
226,5.265
227,5.267
228,5.270
229,5.272
230,5.276
231,5.287
232,5.289
233,5.337
234,5.340
235,5.375
236,5.385
237,5.388
238,5.549
239,5.552
240,5.670
241,5.738
242,5.741
243,5.744
244,5.774
245,5.776
246,5.779
247,5.781
248,5.783
249,5.789
250,5.805
251,5.807
252,5.878
253,5.881
254,5.928
255,5.946
256,5.948
257,5.953
258,5.962
259,5.964
260,6.126
261,6.130
262,6.133
263,6.136
264,6.229
265,6.377
266,6.381
267,6.383
268,6.385
269,6.473
270,6.541
271,6.543
272,6.545
273,6.577
274,6.579
275,6.581
276,6.583
277,6.585
278,6.587
279,6.637
280,6.639
281,6.641
282,6.666
283,6.678
284,6.680
285,6.737
286,6.739
287,6.774
288,6.784
289,6.786
290,6.942
291,6.945
292,7.034
293,7.100
294,7.102
295,7.104
296,7.137
297,7.139
298,7.141
299,7.143
300,7.144
301,7.146
302,7.196
303,7.198
304,7.199
305,7.229
306,7.246
307,7.248
308,7.316
309,7.318
310,7.365
311,7.380
312,7.382
313,7.571
314,7.575
315,7.695
316,7.760
317,7.762
318,7.764
319,7.797
320,7.800
321,7.801
322,7.803
323,7.805
324,7.807
325,7.858
326,7.860
327,7.862
328,7.885
329,7.894
330,7.896
331,7.949
332,7.951
333,7.987
334,7.996
335,7.998
336,8.152
337,8.155
338,8.246
339,8.310
340,8.313
341,8.315
342,8.346
343,8.348
344,8.350
345,8.352
346,8.354
347,8.355
348,8.407
349,8.409
350,8.411
351,8.434
352,8.443
353,8.445
354,8.557
355,8.560
356,8.632
357,8.669
358,8.679
359,8.681
360,8.831
361,8.834
362,8.837
363,8.946
364,9.157
365,9.161
366,9.164
367,9.287
368,9.457
369,9.461
370,9.463
371,9.551
372,9.591
373,9.600
374,9.602
375,9.666
376,9.668
377,9.731
378,9.733
379,9.735
380,9.767
381,9.769
382,9.771
383,9.773
384,9.774
385,9.776
386,9.778
387,9.829
388,9.831
389,9.833
390,9.855
391,9.864
392,9.866
393,9.981
394,9.984
395,10.059
396,10.094
397,10.104
398,10.106
399,10.167
400,10.169
401,10.208
402,10.219
403,10.221
404,10.285
405,10.287
406,10.326
407,10.336
408,10.337
409,10.401
410,10.403
411,10.441
412,10.450
413,10.452
414,10.516
415,10.518
416,10.572
417,10.576
418,10.579
419,10.582
420,10.587
421,10.588
422,10.591
423,10.594
424,10.598
425,10.601
426,10.604
427,10.607
428,10.610
429,10.614
430,10.645
431,10.746
432,10.750
433,10.754
434,10.758
435,10.856
436,10.861
437,10.867
438,10.872
439,10.949
440,10.952
441,10.956
442,10.960
443,11.048
444,11.054
445,11.059
446,11.063
447,11.140
448,11.144
449,11.148
450,11.152
451,11.217
452,11.220
453,11.224
454,11.227
455,11.292
456,11.296
457,11.300
458,11.303
459,11.370
460,11.373
461,11.377
462,11.380
463,11.423
464,11.439
465,11.441
466,11.449
467,11.466
468,11.533
469,11.536
470,11.539
471,11.542
472,11.608
473,11.611
474,11.615
475,11.618
476,11.677
477,11.681
478,11.684
479,11.687
480,11.746
481,11.750
482,11.753
483,11.757
484,11.802
485,11.805
486,11.807
487,11.811
488,11.813
489,11.816
490,11.819
491,11.822
492,11.826
493,11.830
494,11.833
495,11.837
496,11.840
497,11.844
498,11.868
499,11.943
500,11.948
501,11.952
502,11.957
503,12.039
504,12.045
505,12.053
506,12.059
507,12.120
508,12.124
509,12.128
510,12.132
511,12.200
512,12.205
513,12.210
514,12.214
515,12.296
516,12.304
517,12.311
518,12.317
519,12.384
520,12.389
521,12.393
522,12.397
523,12.484
524,12.489
525,12.493
526,12.498
527,12.584
528,12.589
529,12.592
530,12.596
531,12.652
532,12.675
533,12.678
534,12.691
535,12.713
536,12.800
537,12.804
538,12.808
539,12.811
540,12.897
541,12.901
542,12.904
543,12.906
544,12.970
545,12.974
546,12.977
547,12.980
548,13.043
549,13.046
550,13.050
551,13.053
552,13.122
553,13.167
554,13.170
555,13.172
556,13.175
557,13.177
558,13.180
559,13.183
560,13.185
561,13.188
562,13.191
563,13.194
564,13.197
565,13.201
566,13.205
567,13.272
568,13.275
569,13.279
570,13.345
571,13.348
572,13.351
573,13.419
574,13.423
575,13.426
576,13.494
577,13.498
578,13.501
579,13.575
580,13.582
581,13.587
582,13.658
583,13.662
584,13.666
585,13.730
586,13.777
587,13.781
588,13.784
589,13.787
590,13.790
591,13.793
592,13.796
593,13.798
594,13.802
595,13.805
596,13.808
597,13.811
598,13.814
599,13.818
600,13.821
601,13.824
602,13.828
603,13.831
604,13.835
605,13.839
606,13.843
607,13.866
608,13.910
609,13.980
610,13.984
611,13.988
612,13.991
613,14.059
614,14.062
615,14.064
616,14.067
617,14.161
618,14.165
619,14.169
620,14.173
621,14.268
622,14.271
623,14.275
624,14.278
625,14.368
626,14.372
627,14.376
628,14.380
629,14.472
630,14.476
631,14.479
632,14.483
633,14.580
634,14.583
635,14.586
636,14.589
637,14.661
638,14.665
639,14.668
640,14.671
641,14.740
642,14.743
643,14.745
644,14.748
645,14.818
646,14.821
647,14.824
648,14.827
649,14.896
650,14.900
651,14.903
652,14.905
653,14.975
654,14.979
655,14.982
656,14.985
657,15.052
658,15.055
659,15.058
660,15.060
661,15.129
662,15.132
663,15.135
664,15.137
665,15.208
666,15.211
667,15.214
668,15.217
669,15.284
670,15.287
671,15.290
672,15.292
673,15.360
674,15.363
675,15.365
676,15.368
677,15.438
678,15.441
679,15.444
680,15.446
681,15.517
682,15.520
683,15.523
684,15.525
685,15.594
686,15.597
687,15.600
688,15.603
689,15.669
690,15.672
691,15.677
692,15.745
693,15.748
694,15.751
695,15.843
696,15.846
697,15.850
698,15.941
699,15.944
700,15.947
701,16.037
702,16.039
703,16.042
704,16.133
705,16.136
706,16.139
707,16.230
708,16.232
709,16.235
710,16.310
711,16.359
712,16.362
713,16.364
714,16.367
715,16.370
716,16.372
717,16.375
718,16.378
719,16.381
720,16.383
721,16.386
722,16.389
723,16.392
724,16.395
725,16.487
726,16.490
727,16.493
728,16.634
729,16.640
730,16.645
731,16.736
732,16.739
733,16.742
734,16.835
735,16.839
736,16.842
737,16.947
738,16.952
739,16.956
740,17.058
741,17.063
742,17.066
743,17.134
744,17.184
745,17.187
746,17.189
747,17.191
748,17.193
749,17.195
750,17.198
751,17.200
752,17.203
753,17.205
754,17.208
755,17.210
756,17.213
757,17.215
758,17.218
759,17.220
760,17.223
761,17.225
762,17.228
763,17.230
764,17.233
765,17.255
766,17.298
767,17.395
768,17.400
769,17.404
770,17.409
771,17.539
772,17.544
773,17.548
774,17.552
775,17.695
776,17.700
777,17.704
778,17.709
779,17.833
780,17.838
781,17.842
782,17.846
783,17.963
784,17.966
785,17.970
786,17.973
787,18.075
788,18.079
789,18.083
790,18.086
791,18.186
792,18.190
793,18.194
794,18.197
795,18.312
796,18.315
797,18.319
798,18.323
799,18.416
800,18.420
801,18.423
802,18.427
803,18.535
804,18.538
805,18.542
806,18.545
807,18.645
808,18.648
809,18.652
810,18.656
811,18.763
812,18.769
813,18.774
814,18.778
815,18.898
816,18.902
817,18.906
818,18.910
819,19.013
820,19.017
821,19.021
822,19.024
823,19.123
824,19.126
825,19.130
826,19.133
827,19.255
828,19.260
829,19.265
830,19.269
831,19.400
832,19.404
833,19.409
834,19.413
835,19.544
836,19.548
837,19.553
838,19.557
839,19.691
840,19.694
841,19.698
842,19.702
843,19.808
844,19.812
845,19.816
846,19.819
847,19.915
848,19.918
849,19.922
850,20.018
851,20.022
852,20.026
853,20.120
854,20.124
855,20.127
856,20.219
857,20.222
858,20.225
859,20.319
860,20.322
861,20.326
862,20.423
863,20.427
864,20.430
865,20.525
866,20.529
867,20.533
868,20.609
869,20.656
870,20.659
871,20.662
872,20.665
873,20.668
874,20.670
875,20.673
876,20.676
877,20.679
878,20.682
879,20.685
880,20.688
881,20.691
882,20.694
883,20.789
884,20.792
885,20.795
886,20.851
887,20.901
888,20.903
889,21.030
890,21.034
891,21.038
892,21.161
893,21.168
894,21.172
895,21.308
896,21.314
897,21.319
898,21.444
899,21.449
900,21.452
901,21.515
902,21.562
903,21.564
904,21.566
905,21.568
906,21.570
907,21.572
908,21.574
909,21.577
910,21.579
911,21.581
912,21.583
913,21.586
914,21.588
915,21.590
916,21.593
917,21.595
918,21.598
919,21.600
920,21.603
921,21.605
922,21.608
923,21.630
924,21.673
925,21.770
926,21.774
927,21.777
928,21.781
929,21.877
930,21.881
931,21.885
932,21.888
933,21.993
934,21.998
935,22.003
936,22.007
937,22.106
938,22.110
939,22.114
940,22.117
941,22.214
942,22.218
943,22.222
944,22.225
945,22.328
946,22.332
947,22.336
948,22.340
949,22.441
950,22.444
951,22.448
952,22.452
953,22.556
954,22.559
955,22.563
956,22.566
957,22.694
958,22.698
959,22.703
960,22.707
961,22.843
962,22.847
963,22.851
964,22.855
965,22.993
966,22.997
967,23.002
968,23.006
969,23.146
970,23.152
971,23.156
972,23.160
973,23.266
974,23.270
975,23.274
976,23.277
977,23.378
978,23.381
979,23.385
980,23.388
981,23.487
982,23.491
983,23.494
984,23.498
985,23.595
986,23.599
987,23.602
988,23.606
989,23.705
990,23.709
991,23.713
992,23.716
993,23.816
994,23.820
995,23.824
996,23.827
997,23.929
998,23.933
999,23.937
1000,23.940
1001,24.044
1002,24.048
1003,24.052
1004,24.056
1005,24.156
1006,24.160
1007,24.163
1008,24.260
1009,24.264
1010,24.268
1011,24.365
1012,24.369
1013,24.373
1014,24.500
1015,24.504
1016,24.508
1017,24.636
1018,24.640
1019,24.644
1020,24.771
1021,24.776
1022,24.780
1023,24.909
1024,24.912
1025,24.915
1026,24.991
1027,25.037
1028,25.040
1029,25.042
1030,25.045
1031,25.048
1032,25.050
1033,25.053
1034,25.056
1035,25.059
1036,25.062
1037,25.064
1038,25.067
1039,25.070
1040,25.073
1041,25.167
1042,25.170
1043,25.173
1044,25.374
1045,25.382
1046,25.389
1047,25.489
1048,25.493
