n,seconds
1,0.000
2,0.082
3,0.330
4,0.845
5,1.297
6,1.580
7,1.753
8,2.085
9,2.259
10,2.555
11,2.766
12,3.024
13,3.089
14,3.155
15,3.346
16,3.628
17,3.787
18,4.108
19,4.175
20,4.650
21,5.602
22,5.929
23,6.112
24,6.373
25,6.440
26,6.696
27,7.116
28,7.442
29,7.614
30,7.903
31,8.131
32,8.544
33,8.620
34,8.719
35,8.812
36,8.983
37,9.264
38,9.502
39,9.802
40,9.878
41,9.954
42,10.036
43,10.139
44,10.238
45,10.317
46,10.394
47,10.470
48,10.546
49,10.623
50,10.702
51,10.782
52,10.885
53,10.982
54,11.059
55,11.218
56,11.650
57,11.937
58,12.015
59,12.226
60,12.532
61,12.705
62,13.059
63,13.249
64,13.556
65,13.661
66,13.758
67,13.924
68,14.190
69,14.413
70,14.688
71,14.871
72,15.216
73,15.387
74,15.733
75,15.933
76,16.212
77,16.428
78,16.725
79,16.899
80,17.241
81,17.314
82,17.478
83,17.785
84,17.965
85,18.229
86,18.434
87,18.738
88,18.909
89,19.261
90,19.447
91,19.776
92,19.993
93,20.305
94,20.514
95,20.838
96,21.026
97,21.378
98,21.557
99,21.851
100,22.086
101,22.380
102,22.543
103,22.872
104,23.077
105,23.145
106,23.215
107,23.279
108,23.364
109,23.597
110,23.912
111,24.122
112,24.214
113,24.293
114,24.367
115,24.442
116,24.512
117,24.585
118,24.659
119,24.733
120,24.817
121,24.913
122,25.004
123,25.078
124,25.151
125,25.225
126,25.395
127,25.822
128,26.248
129,26.664
130,27.000
131,27.073
132,27.244
133,27.549
134,27.741
135,28.016
136,28.220
137,28.526
138,28.695
139,29.026
140,29.096
141,29.270
142,29.590
143,29.787
144,30.084
145,30.306
146,30.584
147,30.654
148,30.723
149,30.814
150,30.907
151,30.997
152,31.068
153,31.229
154,31.525
155,31.613
156,31.680
157,31.747
158,31.907
159,32.205
160,32.286
161,32.353
162,32.521
163,32.832
164,32.923
165,32.991
166,33.061
167,33.130
168,33.301
169,33.631
170,33.791
171,34.082
172,34.168
173,34.248
174,34.412
175,34.696
176,34.784
177,34.872
178,34.943
179,35.013
180,35.200
181,35.558
182,35.728
183,36.010
184,36.104
185,36.192
186,36.263
187,36.452
188,36.791
189,36.970
190,37.259
191,37.340
192,37.437
193,37.528
194,37.723
195,38.056
196,38.276
197,38.561
198,38.636
199,38.735
200,38.825
201,39.023
202,39.343
203,39.553
204,39.840
205,39.914
206,40.006
207,40.107
208,40.321
209,40.640
210,40.880
211,40.957
212,41.032
213,41.107
214,41.184
215,41.261
216,41.336
217,41.592
218,41.911
219,42.090
220,42.434
221,42.510
222,42.585
223,42.762
224,43.124
225,43.201
226,43.274
227,43.484
228,43.548
229,43.629
230,43.714
231,43.796
232,43.966
233,44.033
234,44.095
235,44.157
236,44.326
237,44.649
238,44.806
239,45.108
240,45.341
241,45.406
242,45.469
243,45.531
244,45.594
245,45.658
246,45.848
247,45.933
248,45.997
249,46.059
250,46.222
251,46.526
252,46.701
253,46.957
254,47.263
255,47.778
256,48.262
257,48.330
258,48.397
259,48.478
260,48.557
261,48.635
262,48.806
263,49.077
264,49.414
265,49.870
266,50.075
267,50.244
268,50.656
269,50.926
270,51.092
271,51.426
272,51.494
273,51.562
274,51.734
275,52.060
276,52.232
277,52.525
278,52.737
279,53.012
280,53.208
281,53.531
282,53.606
283,53.799
284,54.151
285,54.234
286,54.313
287,54.393
288,54.611
289,54.704
290,54.791
291,54.858
292,54.921
293,54.986
294,55.049
295,55.218
296,55.718
297,56.159
298,56.304
299,56.433
300,56.561
301,56.731
302,57.140
303,57.566
304,57.829
305,58.003
306,58.323
307,58.489
308,58.803
309,58.982
310,59.245
311,59.314
312,59.530
313,59.793
314,59.960
315,60.286
316,60.454
317,60.757
318,60.844
319,60.924
320,61.085
321,61.487
322,61.768
323,61.838
324,62.009
325,62.337
326,62.409
327,62.570
328,62.892
329,63.055
330,63.325
331,63.413
332,63.615
333,63.978
334,64.297
335,64.366
336,64.529
337,64.853
338,64.930
339,65.096
340,65.365
341,65.461
342,65.551
343,65.716
344,65.982
345,66.195
346,66.466
347,66.536
348,66.609
349,66.826
350,67.114
351,67.183
352,67.353
353,67.695
354,67.862
355,68.176
356,68.266
357,68.441
358,68.725
359,68.951
360,69.231
361,69.418
362,69.779
363,69.859
364,70.026
365,70.341
366,70.430
367,70.611
368,70.896
369,71.115
370,71.385
371,71.455
372,71.669
373,71.978
374,72.050
375,72.217
376,72.648
377,72.920
378,73.005
379,73.216
380,73.488
381,73.660
382,73.991
383,74.061
384,74.129
385,74.295
386,74.726
387,75.000
388,75.220
389,75.502
390,75.671
391,76.011
392,76.083
393,76.152
394,76.222
395,76.294
396,76.365
397,76.585
398,76.963
399,77.300
400,77.373
401,77.540
402,77.835
403,77.925
404,78.097
405,78.365
406,78.446
407,78.667
408,78.955
409,79.026
410,79.230
411,79.526
412,79.597
413,79.672
414,79.868
415,80.174
416,80.247
417,80.414
418,80.756
419,80.827
420,80.998
421,81.307
422,81.390
423,81.556
424,81.826
425,82.050
426,82.318
427,82.500
428,82.833
429,82.906
430,82.979
431,83.157
432,83.495
433,83.570
434,83.743
435,84.082
436,84.156
437,84.328
438,84.759
439,85.041
440,85.110
441,85.300
442,85.618
443,85.791
444,86.129
445,86.200
446,86.272
447,86.440
448,86.874
449,87.153
450,87.229
451,87.441
452,87.739
453,87.810
454,88.001
455,88.334
456,88.405
457,88.580
458,88.924
459,88.997
460,89.176
461,89.504
462,89.600
463,89.683
464,89.867
465,90.177
466,90.274
467,90.362
468,90.531
469,90.803
470,90.902
471,91.090
472,91.362
473,91.434
474,91.652
475,91.924
476,91.995
477,92.198
478,92.492
479,92.560
480,92.731
481,93.062
482,93.134
483,93.302
484,93.629
485,93.700
486,93.866
487,94.162
488,94.367
489,94.637
490,94.821
491,95.134
492,95.206
493,95.279
494,95.458
495,95.774
496,95.843
497,96.011
498,96.347
499,96.417
500,96.491
501,96.658
502,97.066
503,97.339
504,97.409
505,97.617
506,97.897
507,97.968
508,98.151
509,98.465
510,98.629
511,98.945
512,99.025
513,99.188
514,99.466
515,99.668
516,99.932
517,100.105
518,100.419
519,100.580
520,100.895
521,100.982
522,101.147
523,101.550
524,101.838
525,101.907
526,102.072
527,102.396
528,102.465
529,102.627
530,102.949
531,103.023
532,103.185
533,103.450
534,103.543
535,103.729
536,103.996
537,104.068
538,104.277
539,104.546
540,104.613
541,104.681
542,104.885
543,105.187
544,105.262
545,105.430
546,105.771
547,105.844
548,106.004
549,106.427
550,106.686
551,106.756
552,106.967
553,107.239
554,107.309
555,107.484
556,107.800
557,107.870
558,108.036
559,108.365
560,108.533
561,108.805
562,109.015
563,109.279
564,109.451
565,109.772
566,109.845
567,110.008
568,110.451
569,110.720
570,110.790
571,111.009
572,111.277
573,111.348
574,111.540
575,111.843
576,111.914
577,112.078
578,112.504
579,112.772
580,112.855
581,113.056
582,113.322
583,113.395
584,113.607
585,113.906
586,113.975
587,114.047
588,114.242
589,114.557
590,114.740
591,115.077
592,115.152
593,115.330
594,115.635
595,115.735
596,115.921
597,116.200
598,116.416
599,116.706
600,116.782
601,116.991
602,117.316
603,117.390
604,117.565
605,117.897
606,117.970
607,118.041
608,118.209
609,118.544
610,118.619
611,118.820
612,118.888
613,118.954
614,119.016
615,119.096
616,119.176
617,119.255
618,119.317
619,119.480
620,119.771
621,120.080
622,120.502
623,120.690
624,120.836
625,120.986
626,121.155
627,121.596
628,122.007
629,122.309
630,122.479
631,122.803
632,122.981
633,123.271
634,123.373
635,123.550
636,123.823
637,123.895
638,124.114
639,124.384
640,124.558
641,124.885
642,125.051
643,125.373
644,125.461
645,125.635
646,126.032
647,126.325
648,126.394
649,126.463
650,126.644
651,126.970
652,127.043
653,127.216
654,127.554
655,127.624
656,127.792
657,128.220
658,128.496
659,128.564
660,128.634
661,128.848
662,129.123
663,129.195
664,129.362
665,129.699
666,129.768
667,129.937
668,130.273
669,130.436
670,130.701
671,130.784
672,131.001
673,131.272
674,131.458
675,131.786
676,131.861
677,132.024
678,132.449
679,132.718
680,132.798
681,133.007
682,133.277
683,133.347
684,133.556
685,133.859
686,134.028
687,134.360
688,134.436
689,134.604
690,135.018
691,135.285
692,135.357
693,135.539
694,135.952
695,136.261
696,136.355
697,136.526
698,136.797
699,136.893
700,136.992
701,137.183
702,137.435
703,137.518
704,137.735
705,137.998
706,138.066
707,138.248
708,138.553
709,138.719
710,139.049
711,139.124
712,139.287
713,139.693
714,140.054
715,140.391
716,140.560
717,140.831
718,140.931
719,141.121
720,141.392
721,141.463
722,141.545
723,141.754
724,142.023
725,142.093
726,142.301
727,142.587
728,142.752
729,143.083
730,143.152
731,143.362
732,143.668
733,143.757
734,143.922
735,144.184
736,144.275
737,144.471
738,144.847
739,145.172
740,145.239
741,145.405
742,145.737
743,145.927
744,146.215
745,146.310
746,146.505
747,146.774
748,146.843
749,146.915
750,147.137
751,147.414
752,147.492
753,147.689
754,148.003
755,148.073
756,148.241
757,148.675
758,148.954
759,149.047
760,149.261
761,149.624
762,149.968
763,150.041
764,150.210
765,150.524
766,150.611
767,150.682
768,150.849
769,151.150
770,151.240
771,151.422
772,151.695
773,151.771
774,151.988
775,152.259
776,152.446
777,152.771
778,152.846
779,153.011
780,153.440
781,153.831
782,154.133
783,154.205
784,154.375
785,154.708
786,154.781
787,154.854
788,155.029
789,155.369
790,155.443
791,155.615
792,155.923
793,156.112
794,156.392
795,156.465
796,156.687
797,156.978
798,157.054
799,157.238
800,157.559
801,157.632
802,157.804
803,158.236
804,158.510
805,158.582
806,158.801
807,159.081
808,159.258
809,159.605
810,159.681
811,159.850
812,160.184
813,160.256
814,160.331
815,160.504
816,160.819
817,160.910
818,161.084
819,161.359
820,161.446
821,161.648
822,161.920
823,162.103
824,162.411
825,162.574
826,162.907
827,163.077
828,163.346
829,163.557
830,163.820
831,163.891
832,164.067
833,164.382
834,164.546
835,164.863
836,164.942
837,165.012
838,165.083
839,165.246
840,165.660
841,165.926
842,166.119
843,166.420
844,166.583
845,166.915
846,166.983
847,167.147
848,167.447
849,167.535
850,167.605
851,167.768
852,168.061
853,168.153
854,168.334
855,168.623
856,168.832
857,169.106
858,169.177
859,169.354
860,169.674
861,169.745
862,169.815
863,169.889
864,170.081
865,170.393
866,170.464
867,170.630
868,170.959
869,171.031
870,171.197
871,171.536
872,171.616
873,171.773
874,172.051
875,172.146
876,172.240
877,172.421
878,172.687
879,172.898
880,173.166
881,173.238
882,173.310
