phase,boot,point,sha,corpus,m0_ms,m0_rc,m1_ms,m1_rc,rss_kb
A,1787343239,c00,4600b24,synth300,2588,0,51686,0,1805660
A,1787343239,c00,4600b24,synth100,405,0,4296,0,237928
A,1787343239,c00,4600b24,tiny,155,0,129,0,21944
A,1787343239,c01,445c619,synth300,2072,0,50433,0,1805624
A,1787343239,c01,445c619,synth100,241,0,3408,0,237452
A,1787343239,c01,445c619,tiny,89,0,105,0,21724
A,1787343239,c02,e71feaf,synth300,2119,0,51840,0,1806072
A,1787343239,c02,e71feaf,synth100,222,0,3632,0,237652
A,1787343239,c02,e71feaf,tiny,89,0,113,0,21820
A,1787343239,c03,023f200,synth300,2199,0,50453,0,1805516
A,1787343239,c03,023f200,synth100,228,0,3649,0,237848
A,1787343239,c03,023f200,tiny,86,0,114,0,21752
A,1787343239,c04,4901a02,synth300,2180,0,49677,0,1805732
A,1787343239,c04,4901a02,synth100,213,0,3350,0,237680
A,1787343239,c04,4901a02,tiny,91,0,109,0,21740
A,1787343239,c05,a0ed498,synth300,2124,0,50941,0,1805884
A,1787343239,c05,a0ed498,synth100,218,0,3328,0,237924
A,1787343239,c05,a0ed498,tiny,91,0,146,0,21868
A,1787343239,c06,cb9ce43,synth300,329,0,44964,0,1828456
A,1787343239,c06,cb9ce43,synth100,132,0,2870,0,229172
A,1787343239,c06,cb9ce43,tiny,86,0,103,0,21932
A,1787343239,c07,0e47a7e,synth300,335,0,30428,0,1493280
A,1787343239,c07,0e47a7e,synth100,133,0,2749,0,220344
A,1787343239,c07,0e47a7e,tiny,82,0,105,0,21944
A,1787343239,c08,dc37462,synth300,338,0,29437,0,1483752
A,1787343239,c08,dc37462,synth100,138,0,2756,0,208964
A,1787343239,c08,dc37462,tiny,86,0,105,0,21944
A,1787343239,c09,be2cb6b,synth300,341,0,8947,0,172028
A,1787343239,c09,be2cb6b,synth100,134,0,936,0,62516
A,1787343239,c09,be2cb6b,tiny,84,0,101,0,21884
A,1787343239,c10,0a00f77,synth300,319,0,6383,0,170556
A,1787343239,c10,0a00f77,synth100,138,0,828,0,61012
A,1787343239,c10,0a00f77,tiny,91,0,113,0,21884
A,1787343239,c11,a5158d1,synth300,345,0,6644,0,170484
A,1787343239,c11,a5158d1,synth100,136,0,830,0,60720
A,1787343239,c11,a5158d1,tiny,85,0,108,0,21924
A,1787343239,c12,991239f,synth300,331,0,6394,0,170880
A,1787343239,c12,991239f,synth100,137,0,813,0,60844
A,1787343239,c12,991239f,tiny,87,0,104,0,21820
A,1787343239,c13,b70585f,synth300,320,0,7140,0,158136
A,1787343239,c13,b70585f,synth100,140,0,809,0,58168
A,1787343239,c13,b70585f,tiny,95,0,106,0,21856
A,1787343239,c14,ba1df8c,synth300,260,0,6417,0,159772
A,1787343239,c14,ba1df8c,synth100,134,0,788,0,58084
A,1787343239,c14,ba1df8c,tiny,90,0,112,0,21848
A,1787343239,c15,809b30e,synth300,249,0,6670,0,159852
A,1787343239,c15,809b30e,synth100,134,0,780,0,58228
A,1787343239,c15,809b30e,tiny,84,0,103,0,21940
A,1787343239,c16,393164e,synth300,249,0,6374,0,160088
A,1787343239,c16,393164e,synth100,127,0,779,0,58116
A,1787343239,c16,393164e,tiny,84,0,102,0,21872
A,1787343239,c17,690a261,synth300,237,0,6547,0,158144
A,1787343239,c17,690a261,synth100,127,0,800,0,57976
A,1787343239,c17,690a261,tiny,89,0,107,0,21736
A,1787343239,c18,9a08f81,synth300,227,0,6293,0,159280
A,1787343239,c18,9a08f81,synth100,123,0,738,0,58548
A,1787343239,c18,9a08f81,tiny,91,0,113,0,21792
A,1787343239,c19,4e3ec9f,synth300,247,0,6230,0,159024
A,1787343239,c19,4e3ec9f,synth100,125,0,723,0,58948
A,1787343239,c19,4e3ec9f,tiny,90,0,110,0,21868
A,1787343239,c20,fba0670,synth300,233,0,5965,0,158708
A,1787343239,c20,fba0670,synth100,134,0,704,0,58836
A,1787343239,c20,fba0670,tiny,85,0,101,0,21948
A,1787343239,c21,3525625,synth300,234,0,6380,0,158776
A,1787343239,c21,3525625,synth100,123,0,704,0,59020
A,1787343239,c21,3525625,tiny,90,0,108,0,21736
A,1787343239,c22,16becd8,synth300,245,0,6439,0,158704
A,1787343239,c22,16becd8,synth100,122,0,723,0,59012
A,1787343239,c22,16becd8,tiny,92,0,115,0,21936
A,1787343239,c23,abf13ea,synth300,255,0,5886,0,158644
A,1787343239,c23,abf13ea,synth100,121,0,691,0,58892
A,1787343239,c23,abf13ea,tiny,84,0,105,0,21856
A,1787343239,c24,1d1b05a,synth300,230,0,5881,0,158708
A,1787343239,c24,1d1b05a,synth100,129,0,701,0,58888
A,1787343239,c24,1d1b05a,tiny,83,0,105,0,21824
A,1787343239,c25,2c2b318,synth300,223,0,5969,0,78036
A,1787343239,c25,2c2b318,synth100,121,0,711,0,37124
A,1787343239,c25,2c2b318,tiny,86,0,102,0,21796
A,1787343239,c26,bd0ecd1,synth300,240,0,5572,0,77672
A,1787343239,c26,bd0ecd1,synth100,124,0,692,0,36812
A,1787343239,c26,bd0ecd1,tiny,93,0,110,0,21740
A,1787343239,c00b,4600b24,synth300,2153,0,50402,0,1805736
A,1787343239,c00b,4600b24,synth100,237,0,3580,0,237732
A,1787343239,c00b,4600b24,tiny,93,0,110,0,21924
B0,1787343239,c00,4600b24,ffi,33908,0,-2,0,0
B0,1787343239,c00,4600b24,mono,63381,0,-2,0,0
B0,1787343239,c01,445c619,ffi,32496,0,-2,0,0
B0,1787343239,c01,445c619,mono,62917,0,-2,0,0
B0,1787343239,c02,e71feaf,ffi,32916,0,-2,0,0
B0,1787343239,c02,e71feaf,mono,62154,0,-2,0,0
B0,1787343239,c03,023f200,ffi,33389,0,-2,0,0
B0,1787343239,c03,023f200,mono,62264,0,-2,0,0
B0,1787343239,c04,4901a02,ffi,32022,0,-2,0,0
B0,1787343239,c04,4901a02,mono,62484,0,-2,0,0
B0,1787343239,c05,a0ed498,ffi,34795,0,-2,0,0
B0,1787343239,c05,a0ed498,mono,65670,0,-2,0,0
B0,1787343239,c06,cb9ce43,ffi,3907,0,-2,0,0
B0,1787343239,c06,cb9ce43,mono,9926,0,-2,0,0
B0,1787343239,c07,0e47a7e,ffi,3717,0,-2,0,0
B0,1787343239,c07,0e47a7e,mono,9964,0,-2,0,0
B0,1787343239,c08,dc37462,ffi,3715,0,-2,0,0
B0,1787343239,c08,dc37462,mono,11476,0,-2,0,0
B0,1787343239,c09,be2cb6b,ffi,3951,0,-2,0,0
B0,1787343239,c09,be2cb6b,mono,10275,0,-2,0,0
B0,1787343239,c10,0a00f77,ffi,3804,0,-2,0,0
B0,1787343239,c10,0a00f77,mono,10551,0,-2,0,0
B0,1787343239,c11,a5158d1,ffi,3811,0,-2,0,0
B0,1787343239,c11,a5158d1,mono,10467,0,-2,0,0
B0,1787343239,c12,991239f,ffi,3928,0,-2,0,0
B0,1787343239,c12,991239f,mono,10465,0,-2,0,0
B0,1787343239,c13,b70585f,ffi,3854,0,-2,0,0
B0,1787343239,c13,b70585f,mono,10291,0,-2,0,0
