boot,point,ref,kind,idx,seconds
1787393128,c00,4600b24,open,0,40.75
1787393128,c00,4600b24,edit,1,43.28
1787393128,c00,4600b24,edit,2,38.93
1787393128,c00,4600b24,edit,3,39.55
1787393128,c05,a0ed498,open,0,40.78
1787393128,c05,a0ed498,edit,1,41.17
1787393128,c05,a0ed498,edit,2,40.77
1787393128,c05,a0ed498,edit,3,39.11
1787393128,c06,cb9ce43,open,0,10.51
1787393128,c06,cb9ce43,edit,1,11.71
1787393128,c06,cb9ce43,edit,2,10.10
1787393128,c06,cb9ce43,edit,3,9.55
1787393128,c07,0e47a7e,open,0,10.44
1787393128,c07,0e47a7e,edit,1,11.39
1787393128,c07,0e47a7e,edit,2,9.47
1787393128,c07,0e47a7e,edit,3,9.69
1787393128,c09,be2cb6b,open,0,9.22
1787393128,c09,be2cb6b,edit,1,9.06
1787393128,c09,be2cb6b,edit,2,8.87
1787393128,c09,be2cb6b,edit,3,9.00
1787393128,c12,991239f,open,0,8.58
1787393128,c12,991239f,edit,1,8.87
1787393128,c12,991239f,edit,2,9.21
1787393128,c12,991239f,edit,3,9.40
1787393128,c13,b70585f,open,0,8.46
1787393128,c13,b70585f,edit,1,11.07
1787393128,c13,b70585f,edit,2,9.90
1787393128,c13,b70585f,edit,3,9.61
1787393128,c14,ba1df8c,open,0,8.22
1787393128,c14,ba1df8c,edit,1,9.50
1787393128,c14,ba1df8c,edit,2,8.84
1787393128,c14,ba1df8c,edit,3,7.73
1787393128,c15,809b30e,open,0,7.73
1787393128,c15,809b30e,edit,1,7.77
1787393128,c15,809b30e,edit,2,7.21
1787393128,c15,809b30e,edit,3,7.48
1787393128,c16,393164e,open,0,7.09
1787393128,c16,393164e,edit,1,7.29
1787393128,c16,393164e,edit,2,7.18
1787393128,c16,393164e,edit,3,6.98
1787393128,c17,690a261,open,0,6.89
1787393128,c17,690a261,edit,1,6.61
1787393128,c17,690a261,edit,2,7.72
1787393128,c17,690a261,edit,3,7.29
1787393128,c18,9a08f81,open,0,6.93
1787393128,c18,9a08f81,edit,1,8.79
1787393128,c18,9a08f81,edit,2,9.74
1787393128,c18,9a08f81,edit,3,7.91
1787393128,c19,4e3ec9f,open,0,4.87
1787393128,c19,4e3ec9f,edit,1,5.78
1787393128,c19,4e3ec9f,edit,2,5.85
1787393128,c19,4e3ec9f,edit,3,4.62
1787393128,c20,fba0670,open,0,5.09
1787393128,c20,fba0670,edit,1,5.44
1787393128,c20,fba0670,edit,2,5.08
1787393128,c20,fba0670,edit,3,4.57
1787393128,c21,3525625,open,0,4.71
1787393128,c21,3525625,edit,1,4.79
1787393128,c21,3525625,edit,2,4.89
1787393128,c21,3525625,edit,3,4.64
1787393128,c22,16becd8,open,0,4.58
1787393128,c22,16becd8,edit,1,4.74
1787393128,c22,16becd8,edit,2,4.84
1787393128,c22,16becd8,edit,3,4.39
1787393128,c23,abf13ea,open,0,4.62
1787393128,c23,abf13ea,edit,1,4.59
1787393128,c23,abf13ea,edit,2,4.76
1787393128,c23,abf13ea,edit,3,4.39
1787393128,c24,1d1b05a,open,0,4.69
1787393128,c24,1d1b05a,edit,1,4.75
1787393128,c24,1d1b05a,edit,2,5.41
1787393128,c24,1d1b05a,edit,3,4.81
1787393128,c25,2c2b318,open,0,4.64
1787393128,c25,2c2b318,edit,1,6.10
1787393128,c25,2c2b318,edit,2,5.99
1787393128,c25,2c2b318,edit,3,4.84
1787393128,c26,bd0ecd1,open,0,4.89
1787393128,c26,bd0ecd1,edit,1,5.34
1787393128,c26,bd0ecd1,edit,2,5.11
1787393128,c26,bd0ecd1,edit,3,4.58
