boot,point,ref,idx,seconds
1787393128,c13,b70585f,1,9.13
1787393128,c13,b70585f,2,8.60
1787393128,c13,b70585f,3,8.92
1787393128,c13,b70585f,4,8.58
1787393128,c13,b70585f,5,8.41
1787393128,c13,b70585f,6,8.52
1787393128,c13,b70585f,7,8.54
1787393128,c13,b70585f,8,8.68
1787393128,c13,b70585f,9,8.45
1787393128,c13,b70585f,10,8.75
1787393128,c14,ba1df8c,1,7.17
1787393128,c14,ba1df8c,2,7.16
1787393128,c14,ba1df8c,3,7.12
1787393128,c14,ba1df8c,4,6.96
1787393128,c14,ba1df8c,5,6.94
1787393128,c14,ba1df8c,6,7.34
1787393128,c14,ba1df8c,7,6.90
1787393128,c14,ba1df8c,8,7.35
1787393128,c14,ba1df8c,9,7.21
1787393128,c14,ba1df8c,10,7.13
1787393128,c16,393164e,1,7.03
1787393128,c16,393164e,2,6.97
1787393128,c16,393164e,3,6.72
1787393128,c16,393164e,4,7.09
1787393128,c16,393164e,5,6.77
1787393128,c16,393164e,6,6.97
1787393128,c16,393164e,7,6.93
1787393128,c16,393164e,8,7.08
1787393128,c16,393164e,9,7.09
1787393128,c16,393164e,10,7.25
1787393128,c17,690a261,1,6.55
1787393128,c17,690a261,2,6.58
1787393128,c17,690a261,3,6.64
1787393128,c17,690a261,4,6.77
1787393128,c17,690a261,5,6.72
1787393128,c17,690a261,6,6.56
1787393128,c17,690a261,7,6.82
1787393128,c17,690a261,8,6.69
1787393128,c17,690a261,9,6.64
1787393128,c17,690a261,10,6.58
1787393128,c18,9a08f81,1,6.49
1787393128,c18,9a08f81,2,6.54
1787393128,c18,9a08f81,3,6.39
1787393128,c18,9a08f81,4,6.41
1787393128,c18,9a08f81,5,6.77
1787393128,c18,9a08f81,6,6.60
1787393128,c18,9a08f81,7,6.74
1787393128,c18,9a08f81,8,6.30
1787393128,c18,9a08f81,9,6.55
1787393128,c18,9a08f81,10,6.63
1787393128,c19,4e3ec9f,1,4.70
1787393128,c19,4e3ec9f,2,4.98
1787393128,c19,4e3ec9f,3,4.53
1787393128,c19,4e3ec9f,4,4.40
1787393128,c19,4e3ec9f,5,4.45
1787393128,c19,4e3ec9f,6,4.37
1787393128,c19,4e3ec9f,7,4.45
1787393128,c19,4e3ec9f,8,4.48
1787393128,c19,4e3ec9f,9,4.65
1787393128,c19,4e3ec9f,10,4.67
