boot,point,ref,corpus,gen_ms,gen_rc,prep_ms,prep_rc,peak_kb,obl_total,obl_done_300s
1787343239,v1,perf-order-v1,synth300,331,0,35209,0,76332,1800,2100
1787343239,v1,perf-order-v1,synth100,150,0,2720,0,37012,600,700
1787343239,v1,perf-order-v1,ffi,3934,0,900005,124,0,9927,10418
1787343239,v1,perf-order-v1,mono,10421,0,900005,124,0,0,0
1787343239,v2,perf-order-v2,synth300,326,0,23095,0,76272,0,0
1787343239,v2,perf-order-v2,synth100,142,0,2493,0,36888,0,0
1787343239,v2,perf-order-v2,ffi,3873,0,900005,124,0,0,0
1787343239,v2,perf-order-v2,mono,10461,0,900004,124,0,0,0
1787343239,v3,perf-order-v3,synth300,321,0,19761,0,79812,0,0
1787343239,v3,perf-order-v3,synth100,134,0,2274,0,38476,0,0
1787343239,v3,perf-order-v3,ffi,3938,0,418375,0,463908,0,0
1787343239,v3,perf-order-v3,mono,10151,0,900005,124,0,0,0
